DATE,MTSO133FMS,UNRATE,CPIFABSL,CPIMEDSL,CUSR0000SAE1
8/1/2012,369393,8.1,234.108,417.555,217.29
9/1/2012,186386,7.8,234.286,418.453,218.236
10/1/2012,304311,7.8,234.694,419.07,218.952
11/1/2012,333841,7.7,235.1,419.509,219.583
12/1/2012,270699,7.9,235.521,420.321,220.263
1/1/2013,269340,8,235.86,421.114,221.376
2/1/2013,326354,7.7,235.903,421.601,221.963
3/1/2013,292548,7.5,236.13,423.089,222.541
4/1/2013,293834,7.6,236.574,423.025,223.125
5/1/2013,335914,7.5,236.387,422.316,223.647
6/1/2013,170126,7.5,236.912,424.286,224.034
7/1/2013,297627,7.3,237.133,425.008,224.812
8/1/2013,333275,7.2,237.407,427.168,225.362
9/1/2013,226355,7.2,237.464,428.29,225.749
10/1/2013,289514,7.2,237.693,428.586,226.44
11/1/2013,317679,6.9,237.895,428.485,227.234
12/1/2013,231821,6.7,238.133,428.622,228.015
1/1/2014,306247,6.6,238.417,429.989,228.073
2/1/2014,337880,6.7,239.247,431.137,229.103
3/1/2014,252741,6.7,240.24,432.211,229.723
4/1/2014,307383,6.2,240.995,433.26,230.373
5/1/2014,329860,6.3,242.107,434.262,231.05
6/1/2014,253127,6.1,242.345,435.187,231.667
7/1/2014,309113,6.2,242.883,435.864,232.213
8/1/2014,322925,6.1,243.505,436.041,233.008
9/1/2014,245441,5.9,244.148,437.091,233.417
10/1/2014,334432,5.7,244.5,437.758,234.146
11/1/2014,248254,5.8,245.106,439.408,234.8
12/1/2014,333463,5.6,245.84,441.464,235.402
1/1/2015,321738,5.7,245.764,441.351,236.63
2/1/2015,331747,5.5,246.056,441.101,237.012
3/1/2015,287097.3978,5.4,245.685,442.943,238.117
4/1/2015,315087.1624,5.4,245.615,445.822,239.052
5/1/2015,294771.1058,5.6,245.886,446.743,239.665
6/1/2015,291157.2894,5.3,246.511,446.33,240.232
7/1/2015,374680.1336,5.2,246.733,446.953,241.058
8/1/2015,275257.3571,5.1,247.295,446.612,241.563
9/1/2015,274412.3087,5,247.984,447.648,242.52
10/1/2015,347578.3302,5,248.288,450.681,242.936
11/1/2015,269520.7195,5.1,248.075,452.225,243.567
12/1/2015,364074.6566,5,247.761,452.732,244.004
1/1/2016,258415.6926,4.8,247.967,454.194,244.548
2/1/2016,361760.8572,4.9,248.244,456.922,245.046
3/1/2016,335890.5577,5,247.699,457.723,245.554
4/1/2016,331980.4726,5.1,247.906,459.245,246.213
5/1/2016,277110.8442,4.8,247.575,460.487,246.761
6/1/2016,323320.2353,4.9,247.42,462.09,247.276
7/1/2016,322812.9027,4.8,247.406,464.439,247.732
8/1/2016,338438.3878,4.9,247.479,469.02,248.242
9/1/2016,323177.8711,5,247.528,469.816,248.753
10/1/2016,265884.2691,4.9,247.596,469.749,249.496
11/1/2016,336525.5291,4.7,247.525,469.914,249.94
12/1/2016,346719.9327,4.7,247.53,470.539,250.769
1/1/2017,292812.1075,4.7,247.9,471.484,250.948
2/1/2017,363757.1178,4.6,248.513,473.139,251.469
3/1/2017,392815.8797,4.4,249.02,473.685,251.829
4/1/2017,273177.3192,4.4,249.381,473.007,252.052
5/1/2017,328843.9693,4.4,249.711,472.981,252.306
6/1/2017,428893.6788,4.3,249.519,474.492,252.982
